operation,source,destination,change,explanation,status,verification
"Update licence tool","xWalkTool/python/xWalkLicenseTool","xWalkTool/python/xWalkLicenseTool","Updated the fixed licence output path","The encrypted key remains inside relocated xWalkLibrary","Applied","Licence-tool CTest passed"
"Update licence-tool test","xWalkTool/python/test/test_xWalkLicenseTool.py","xWalkTool/python/test/test_xWalkLicenseTool.py","Updated the expected licence path","The test must verify the reorganized fixed output location","Applied","Licence-tool CTest passed"
"Update IDE configuration",".cproject and .vscode/c_cpp_properties.json",".cproject and .vscode/c_cpp_properties.json","Updated tracked source include and resource paths","Eclipse and VS Code must index the relocated directories","Applied","Old root path audit found no IDE stale paths"
"Update ignore paths",".gitignore",".gitignore","Updated private and bundled-library exceptions","Ignore behavior must follow relocated product files","Applied","git check-ignore-compatible syntax retained"
"Update controller path test","xWalk-rpi5/xWalkController/xWalkHandler/test/src/xControllerTest.cpp","xWalk-rpi5/xWalkController/xWalkHandler/test/src/xControllerTest.cpp","Updated relative audio-resource examples","Test path values now represent the reorganized workspace","Applied","Controller tests and complete CTest passed"
"Update documentation paths","Repository documentation","Repository documentation","Updated workspace commands links and physical component paths","Documentation must describe the new xWalk-rpi5 grouping while retaining logical target names","Applied","Stale-path audit leaves only intentional trace-relative and Gerrit-internal references"
"Configure build",".","build-host/xwalk-rpi5-move","Configured a fresh strict Debug Ninja build","Validates CMake integration from the unchanged repository root","Verified","Configure completed successfully"
"Build project",".","build-host/xwalk-rpi5-move","Built the complete host integration","Validates compilation and generated metadata after relocation","Verified","615 targets completed successfully"
"Run tests","build-host/xwalk-rpi5-move","57 CTest entries","Ran all host-safe tests","Verifies unit functional simulator recorded-media streaming deployment and tooling behavior","Verified","57 of 57 passed; physical hardware tests were not run"
"Run host-safe diagnostic","xWalk-rpi5/xWalkController/xWalkConfig/picar-x.conf","xwalk-picarx-control --diagnose --no-hardware","Validated deployment configuration without hardware access","Confirms the relocated executable and configuration paths","Verified","All checks passed and output confirmed no device or service access"
"Run ShellCheck","Modified shell scripts","ShellCheck","Checked all modified shell scripts","Guards shell safety after path edits","Verified","ShellCheck returned zero"
"Validate YAML","Modified GitHub workflows","YAML parser","Parsed both affected workflows","Guards CI syntax after path edits","Verified","Both workflows parsed successfully"
"Audit stale paths","Repository text files","Path audit","Searched for old root-relative component paths","Confirms physical paths were updated without renaming logical targets","Verified","Only intentional trace-catalogue-relative and Gerrit-internal paths remain"
"Validate documentation","Repository documentation","Guideline audit","Ran the repository documentation and coding audit","Records the repository-wide validation result without hiding repository debt","Failed","Audit reported 3876 style/header findings across 1374 files; most are in untouched or generated source content"
"Scan credentials","Repository text files","Credential pattern audit","Checked for committed private-key markers and authorization material","Protects credentials during the reorganization","Verified","No private keys found; only expected authorization-header literals appeared"
"Move checkout Gerrit submodules helper","scripts/ci/checkout-gerrit-submodules.sh","xWalkTool/shell/checkout-gerrit-submodules.sh","Moved the private-submodule checkout helper and updated its validator path","Keeps non-product CI helper scripts in the controlled root-level xWalkTool directory","Applied","Source path absent; destination is executable with mode 0755"
"Move integration metadata validator","scripts/ci/validate-integration-metadata.sh","xWalkTool/shell/validate-integration-metadata.sh","Moved the integration metadata validator","Keeps non-product CI helper scripts outside integrated product source","Applied","Source path absent; destination is executable with mode 0755"
"Update workflow helper paths",".github/workflows/xwalk-rpi5-integration.yml","xWalkTool/shell/*.sh","Redirected all three workflow calls to xWalkTool/shell","GitHub CI must call the helpers at their controlled tooling location","Applied","No scripts/ci helper references remain and workflow YAML parsed"
"Verify relocated CI helpers","xWalkTool/shell/*.sh","Temporary eight-gitlink fixture","Ran ShellCheck Bash syntax metadata validation and metadata-only checkout","Proves relocation did not change helper behavior or require private credentials","Verified","Both helper flows passed against an exact eight-component Gerrit fixture"
